date,schedule_interval,transmission_id,sched_inj_gj,sched_wdl_gj,price_value,administered_price,actual_wdl_gj,actual_inj_gj
2016-12-18,3,170694,433722.2,437078.5954,10.4988,,411297.7694,402243.3123
2016-12-18,4,170710,437500.8151,441966.0,10.06,,411297.7694,402243.3123
2016-12-18,5,170712,431180.0225,442209.0,10.06,,411297.7694,402243.3123
2016-12-17,1,170597,421379.3333,414472.9964,10.45,,400441.5201,393927.774
2016-12-17,2,170628,407757.2757,399723.0,10.06,,400441.5201,393927.774
2016-12-17,3,170640,406948.9529,399267.0,10.06,,400441.5201,393927.774
2016-12-17,4,170654,407572.2498,399267.0,10.06,,400441.5201,393927.774
2016-12-17,5,170658,412756.0547,399266.9999,12.45,,400441.5201,393927.774
2016-12-16,1,170556,430759.9781,431404.0,9.7,,374209.1326,379639.2926
2016-12-16,2,170561,410781.0,415798.3126,9.82,,374209.1326,379639.2926
2016-12-16,3,170569,410633.699,418661.0,9.7,,374209.1326,379639.2926
2016-12-16,4,170577,416967.0,425129.6168,9.9588,,374209.1326,379639.2926
2016-12-16,5,170581,415727.7885,427018.0,9.7,,374209.1326,379639.2926
2016-12-15,1,170524,464433.2742,462542.0,9.19,,439708.8037,435076.3232
2016-12-15,2,170530,438206.186,453419.0,8.9,,439708.8037,435076.3232
2016-12-15,3,170536,444419.1088,452168.0,9.95,,439708.8037,435076.3232
2016-12-15,4,170540,454923.8453,454258.0,9.95,,439708.8037,435076.3232
2016-12-15,5,170545,451749.5873,454579.9999,9.94,,439708.8037,435076.3232
2016-12-14,1,170487,478714.0,480558.0822,7.89,,507609.2042,503874.8753
2016-12-14,2,170497,465842.0,474876.9776,7.19,,507609.2042,503874.8753
2016-12-14,3,170507,482039.9583,490899.0,9.05,,507609.2042,503874.8753
2016-12-14,4,170514,497072.0,505737.4269,9.0,,507609.2042,503874.8753
2016-12-14,5,170517,499289.6184,505539.0909,9.5478,,507609.2042,503874.8753
2016-12-13,1,170427,476385.3827,511832.8553,5.99,,519359.5075,488558.1657
2016-12-13,2,170439,461373.8827,501290.4283,6.62,,519359.5075,488558.1657
2016-12-13,3,170455,465452.8827,510321.0622,7.0,,519359.5075,488558.1657
2016-12-13,4,170463,472748.8827,514999.8979,7.39,,519359.5075,488558.1657
2016-12-13,5,170471,479304.8827,519284.6854,7.99,,519359.5075,488558.1657
2016-12-12,1,170322,404708.2028,385780.0,10.01,,402182.5493,449800.741
2016-12-12,2,170339,396898.2218,381034.6406,8.23,,402182.5493,449800.741
2016-12-12,3,170355,416595.8039,404420.204,7.01,,402182.5493,449800.741
2016-12-12,4,170373,426632.6832,413507.0013,5.75,,402182.5493,449800.741
2016-12-12,5,170390,415337.7011,400869.457,7.0,,402182.5493,449800.741
2016-12-11,1,170253,446775.4982,446507.0,7.4569,,484588.6526,461380.0579
2016-12-11,2,170260,452013.0,449864.681,8.2,,484588.6526,461380.0579
2016-12-11,3,170273,456847.0,454600.2966,8.98,,484588.6526,461380.0579
2016-12-11,4,170287,451960.0,448184.4847,7.81,,484588.6526,461380.0579
2016-12-11,5,170297,457149.1883,447281.4847,9.3478,,484588.6526,461380.0579
2016-12-10,1,170214,466714.2196,485241.0,6.6,,525166.0828,503015.0614
2016-12-10,2,170221,447826.5454,461944.7123,6.2355,,525166.0828,503015.0614
2016-12-10,3,170234,471607.3329,484212.3333,7.5,,525166.0828,503015.0614
2016-12-10,4,170239,480265.0126,488367.3333,7.5,,525166.0828,503015.0614
2016-12-10,5,170241,494087.5422,496563.6666,9.88,,525166.0828,503015.0614
2016-12-09,1,170180,564520.7702,547963.0,9.1,,507052.9443,543528.4938
2016-12-09,2,170186,565813.2424,537203.0,9.23,,507052.9443,543528.4938
2016-12-09,3,170198,576595.0,544570.1378,8.98,,507052.9443,543528.4938
2016-12-09,4,170208,582171.2414,557888.0,7.5,,507052.9443,543528.4938
2016-12-09,5,170210,586888.0,563998.1602,7.52,,507052.9443,543528.4938
2016-12-08,1,170112,462086.9308,462835.0,7.2515,,525644.0391,495141.0764
2016-12-08,2,170122,453161.331,463437.5159,6.63,,525644.0391,495141.0764
2016-12-08,3,170127,461583.331,468069.3103,7.5,,525644.0391,495141.0764
2016-12-08,4,170137,478090.8889,479839.0,8.1369,,525644.0391,495141.0764
2016-12-08,5,170141,488779.9502,481106.0309,9.93,,525644.0391,495141.0764
2016-12-07,1,170073,484004.6718,478318.0,9.3,,457622.0027,473440.133
2016-12-07,2,170081,473064.2264,463335.0,9.069,,457622.0027,473440.133
2016-12-07,3,170087,473675.008,463782.6402,9.0,,457622.0027,473440.133
2016-12-07,4,170094,473675.008,463793.791,9.01,,457622.0027,473440.133
2016-12-07,5,170100,474115.4768,466503.3389,9.0013,,457622.0027,473440.133
2016-12-06,1,170036,458887.3874,480239.0,6.65,,507152.3778,472805.293
2016-12-06,2,170046,455657.0355,474679.5998,9.0,,507152.3778,472805.293
2016-12-06,3,170058,459994.3904,477769.5657,9.3,,507152.3778,472805.293
2016-12-06,4,170064,468242.3878,477177.5657,9.3,,507152.3778,472805.293
2016-12-06,5,170067,472797.8583,477486.5657,10.859,,507152.3778,472805.293
2016-12-05,1,169999,367114.4469,392257.0,5.55,,471032.4938,464385.1071
2016-12-05,2,170006,450684.7293,479479.8869,2.99,,471032.4938,464385.1071
2016-12-05,3,170015,447287.192,474631.8638,4.01,,471032.4938,464385.1071
2016-12-05,4,170026,452609.6526,479762.6964,4.99,,471032.4938,464385.1071
2016-12-05,5,170032,439855.1601,462899.9983,5.8,,471032.4938,464385.1071
2016-12-04,1,169936,451179.748,430354.0,8.65,,462298.0864,478741.2208
2016-12-04,2,169950,418717.6922,421147.7089,7.0588,,462298.0864,478741.2208
2016-12-04,3,169964,427099.0225,436164.0,6.6,,462298.0864,478741.2208
2016-12-04,4,169983,439675.6922,447609.6464,7.1,,462298.0864,478741.2208
2016-12-04,5,169987,443177.5058,447687.0,7.5,,462298.0864,478741.2208
2016-12-03,1,169849,412500.9148,402352.0,10.89,,380452.1276,374187.0055
2016-12-03,2,169873,390719.1422,371911.0,10.22,,380452.1276,374187.0055
2016-12-03,3,169886,391130.3333,375361.0422,9.0188,,380452.1276,374187.0055
2016-12-03,4,169906,391159.3333,373928.7908,9.0188,,380452.1276,374187.0055
2016-12-03,5,169918,399876.2323,373282.9999,12.4229,,380452.1276,374187.0055
2016-12-02,1,169744,475006.9442,474171.0,7.49,,428890.2719,415943.8737
2016-12-02,2,169771,463121.8787,466979.0,7.3,,428890.2719,415943.8737
2016-12-02,3,169792,477357.8268,477344.3265,7.5,,428890.2719,415943.8737
2016-12-02,4,169834,458747.6182,453138.1076,15.99,,428890.2719,415943.8737
2016-12-02,5,169841,450664.6809,450068.357,13.87,,428890.2719,415943.8737
2016-12-01,1,169706,413092.0021,401831.0,6.6,,450959.1186,471487.1945
2016-12-01,2,169716,427757.889,407697.3333,5.75,,450959.1186,471487.1945
2016-12-01,3,169725,433027.9938,413166.6526,5.8585,,450959.1186,471487.1945
2016-12-01,4,169736,435521.6091,414733.2666,5.75,,450959.1186,471487.1945
2016-12-01,5,169739,439347.7693,414508.5884,6.05,,450959.1186,471487.1945
2016-11-30,1,169653,459055.5559,451429.0,8.22,,501074.4524,500220.7783
2016-11-30,2,169665,447617.6427,435769.0,9.0,,501074.4524,500220.7783
2016-11-30,3,169677,472574.1427,441396.4315,11.35,,501074.4524,500220.7783
2016-11-30,4,169687,484910.6448,442412.4315,11.34,,501074.4524,500220.7783
2016-11-30,5,169690,494041.3608,442754.4314,11.55,,501074.4524,500220.7783
2016-11-29,1,169511,500916.8779,494236.0,9.01,,523384.3498,524257.6893
2016-11-29,2,169536,495294.0,482548.2079,8.05,,523384.3498,524257.6893
2016-11-29,3,169557,517976.5763,503642.0,9.19,,523384.3498,524257.6893
2016-11-29,4,169585,521166.2292,505134.0,8.88,,523384.3498,524257.6893
2016-11-29,5,169606,521166.0,506550.5685,8.19,,523384.3498,524257.6893
2016-11-28,1,169465,498881.6841,499169.0,10.8125,,523090.5696,507601.3351
2016-11-28,2,169472,510470.3383,503888.0,10.44,,523090.5696,507601.3351
2016-11-28,3,169485,520880.8221,516943.0,8.1,,523090.5696,507601.3351
2016-11-28,4,169491,520820.3212,517820.7163,8.29,,523090.5696,507601.3351
2016-11-28,5,169497,518807.5982,513710.0,9.99,,523090.5696,507601.3351
2016-11-27,1,169425,485640.9327,478027.0,9.2525,,497961.2752,499128.927
2016-11-27,2,169431,481750.2163,466263.0,9.41,,497961.2752,499128.927
2016-11-27,3,169440,495908.9784,475761.0,9.68,,497961.2752,499128.927
2016-11-27,4,169448,508422.9703,480718.0,10.3247,,497961.2752,499128.927
2016-11-27,5,169454,522809.7212,479490.9999,11.33,,497961.2752,499128.927
2016-11-26,1,169390,514446.376,497135.0,9.775,,472786.0547,469917.9797
2016-11-26,2,169397,494193.0129,461252.0,9.775,,472786.0547,469917.9797
2016-11-26,3,169405,506530.3024,465490.0,9.775,,472786.0547,469917.9797
2016-11-26,4,169414,522990.5597,474682.0,10.3578,,472786.0547,469917.9797
2016-11-26,5,169421,526922.2481,474682.0,10.4111,,472786.0547,469917.9797
2016-11-25,1,169342,726426.8951,716595.1682,9.0,,735519.5907,726322.7523
2016-11-25,2,169358,712173.2284,702226.673,8.26,,735519.5907,726322.7523
2016-11-25,3,169367,723751.8951,716949.0853,5.5701,,735519.5907,726322.7523
2016-11-25,4,169377,724752.2284,719874.2041,5.7088,,735519.5907,726322.7523
2016-11-25,5,169380,734502.6087,718438.9445,9.22,,735519.5907,726322.7523
2016-11-24,1,169283,730264.5379,716925.0,7.8888,,599467.7371,598214.2939
2016-11-24,2,169294,719503.1774,687624.0,8.8888,,599467.7371,598214.2939
2016-11-24,3,169322,699154.5687,655927.7333,20.0,,599467.7371,598214.2939
